nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
EARL LINDER;TRUE;Key Grip;Camera and Electrical Department;Hill Street Blues S01E13;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;;
ED ARNESON;TRUE;Police Advisors;Additional Crew;Se7en;nm0036223;Ed Arneson;A;nm0036223;Ed Arneson;A;nm0036223;Ed Arneson;A;nm0036223;Ed Arneson;A;nm0036223;Ed Arneson;A;nm0036223;Ed Arneson;A;nm0036223;Ed Arneson;A;;
ED CORNELL;TRUE;Painter decorators;Art Department;Se7en;nm0180241;Ed Cornell;A;nm0180241;Ed Cornell;A;nm0180241;Ed Cornell;A;nm0180241;Ed Cornell;A;nm0180241;Ed Cornell;A;nm0180241;Ed Cornell;A;nm0180241;Ed Cornell;A;;
ED GOLDFARB;TRUE;Music Arrangement;Music Department;Apocalypse Now;nm1385210;Ed Goldfarb;A;nm1385210;Ed Goldfarb;A;nm1385210;Ed Goldfarb;A;nm1385210;Ed Goldfarb;A;nm1385210;Ed Goldfarb;A;nm1385210;Ed Goldfarb;A;nm1385210;Ed Goldfarb;A;;
ED MEDIN;TRUE;Electricians;Camera and Electrical Department;Se7en;nm0575614;Ed Medin;A;nm0575614;Ed Medin;A;nm0575614;Ed Medin;A;nm0575614;Ed Medin;A;nm0575614;Ed Medin;A;nm0575614;Ed Medin;A;nm0575614;Ed Medin;A;;
EDDIE AYAY;TRUE;Special Effects Men;Special Effects;Apocalypse Now;nm0043683;Eddie Ayay;A;nm0043683;Eddie Ayay;A;nm0043683;Eddie Ayay;A;nm0043683;Eddie Ayay;A;nm0043683;Eddie Ayay;A;nm0043683;Eddie Ayay;A;nm0043683;Eddie Ayay;A;;
EDDIE MALONEY;TRUE;Best Boy Gaffer;Camera and Electrical Department;Se7en;nm16245920;Eddie Monley;M;;EDDIE MALONEY;X;;EDDIE MALONEY;X;;EDDIE MALONEY;X;;EDDIE MALONEY;X;;EDDIE MALONEY;X;;EDDIE MALONEY;X;;
EDDIE ROMERO;TRUE;Hemisphere Productions;Producers;Apocalypse Now;nm0739388;Eddie Romero;A;nm0739388;Eddie Romero;A;nm0739388;Eddie Romero;A;nm0739388;Eddie Romero;A;nm0739388;Eddie Romero;A;nm0739388;Eddie Romero;A;nm0739388;Eddie Romero;A;;
EDDIE WIRTH;TRUE;Drivers;Transportation Department;Se7en;;EDDIE WIRTH;X;;EDDIE WIRTH;X;;EDDIE WIRTH;X;;EDDIE WIRTH;X;;EDDIE WIRTH;X;;EDDIE WIRTH;X;;EDDIE WIRTH;X;;
EDDY MALONEY;TRUE;Best Boy Electric;Camera and Electrical Department;Fight Club;nm0540548;Ed Maloney;M;nm0540548;Ed Maloney;M;;EDDY MALONEY;X;;EDDY MALONEY;X;;EDDY MALONEY;X;;EDDY MALONEY;X;;EDDY MALONEY;X;;
EDGAR FISCHNALLER;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09;nm8078322;Edgar Fischnaller;A;nm8078322;Edgar Fischnaller;A;nm8078322;Edgar Fischnaller;A;nm8078322;Edgar Fischnaller;A;nm8078322;Edgar Fischnaller;A;nm8078322;Edgar Fischnaller;A;nm8078322;Edgar Fischnaller;A;;
Edgar Maldonado;TRUE;Sound Mixers;Dubbing_Sound;Dark S01E09;nm4495368;Edgar Maldonado;A;nm4495368;Edgar Maldonado;A;nm4495368;Edgar Maldonado;A;nm4495368;Edgar Maldonado;A;nm4495368;Edgar Maldonado;A;nm4495368;Edgar Maldonado;A;nm4495368;Edgar Maldonado;A;;
EDGARDO SIMONE;TRUE;music orchestrated by;Music Department;Eternal Sunshine of the Spotless Mind;nm0800488;Edgardo Simone;A;nm0800488;Edgardo Simone;A;nm0800488;Edgardo Simone;A;nm0800488;Edgardo Simone;A;nm0800488;Edgardo Simone;A;nm0800488;Edgardo Simone;A;nm0800488;Edgardo Simone;A;;
FLINT MALONEY;TRUE;Assistant Location Manager;Location Managers;Se7en;nm0540550;Flint Maloney;A;nm0540550;Flint Maloney;A;nm0540550;Flint Maloney;A;nm0540550;Flint Maloney;A;nm0540550;Flint Maloney;A;nm0540550;Flint Maloney;A;nm0540550;Flint Maloney;A;;
Edmond LIECHTI;TRUE;Générique;Additional Crew;Maigret S03E01;nm0509535;Edmond Liechti;A;nm0509535;Edmond Liechti;A;nm0509535;Edmond Liechti;A;nm0509535;Edmond Liechti;A;nm0509535;Edmond Liechti;A;nm0509535;Edmond Liechti;A;nm0509535;Edmond Liechti;A;;
EDOARDO LEO;TRUE;;Cast;Romanzo criminale S01E01;nm0502412;Edoardo Leo;A;nm0502412;Edoardo Leo;A;nm0502412;Edoardo Leo;A;nm0502412;Edoardo Leo;A;nm0502412;Edoardo Leo;A;nm0502412;Edoardo Leo;A;nm0502412;Edoardo Leo;A;;
EDOARDO PESCE;TRUE;;Cast;Romanzo criminale S01E01;nm3034455;Edoardo Pesce;A;nm3034455;Edoardo Pesce;A;nm3034455;Edoardo Pesce;A;nm3034455;Edoardo Pesce;A;nm3034455;Edoardo Pesce;A;nm3034455;Edoardo Pesce;A;nm3034455;Edoardo Pesce;A;;
Edouard Dubois;TRUE;Consultant musical;Music Department;Amelie;nm0239405;Edouard Dubois;A;nm0239405;Edouard Dubois;A;nm0239405;Edouard Dubois;A;nm0239405;Edouard Dubois;A;nm0239405;Edouard Dubois;A;nm0239405;Edouard Dubois;A;nm0239405;Edouard Dubois;A;;
Edouard Valton;TRUE;Directeur de production;Production Managers;Amelie;nm0885410;Edouard Valton;A;nm0885410;Edouard Valton;A;nm0885410;Edouard Valton;A;nm0885410;Edouard Valton;A;nm0885410;Edouard Valton;A;nm0885410;Edouard Valton;A;nm0885410;Edouard Valton;A;;
EDRA GALE;TRUE;;Cast;8 1-2;;EDRA GALE;X;nm0301841;Eddra Gale;M;nm0301841;Eddra Gale;M;nm0301841;Eddra Gale;M;;EDRA GALE;X;;EDRA GALE;X;;EDRA GALE;X;;
EDUARDO ROSA;TRUE;;Cast;El desorden que dejas S01E03;;EDUARDO ROSA;X;;EDUARDO ROSA;X;;EDUARDO ROSA;X;;EDUARDO ROSA;X;;EDUARDO ROSA;X;;EDUARDO ROSA;X;;EDUARDO ROSA;X;;
EDVINAS BRASAS;TRUE;Stunt Performers;Stunts;Chernobyl S01E01;nm4066885;Edvinas Brasas;A;nm4066885;Edvinas Brasas;A;nm4066885;Edvinas Brasas;A;nm4066885;Edvinas Brasas;A;nm4066885;Edvinas Brasas;A;nm4066885;Edvinas Brasas;A;nm4066885;Edvinas Brasas;A;;
EDWARD ALVARADO, JR.;TRUE;Laborers;Art Department;Se7en;nm0023149;Edward R. Alvarado;M;nm0023149;Edward R. Alvarado;M;nm0023149;Edward R. Alvarado;M;nm0023149;Edward R. Alvarado;M;nm0023149;Edward R. Alvarado;M;;EDWARD ALVARADO, JR.;X;;EDWARD ALVARADO, JR.;X;;
EDWARD BATTISTA;TRUE;drivers;Transportation Department;Eternal Sunshine of the Spotless Mind;;EDWARD BATTISTA;X;;EDWARD BATTISTA;X;;EDWARD BATTISTA;X;;EDWARD BATTISTA;X;;EDWARD BATTISTA;X;;EDWARD BATTISTA;X;;EDWARD BATTISTA;X;;
EDWARD HEYMAN;TRUE;Written by (I Cover The Waterfront);Soundtrack;Se7en;nm0382269;Edward Heyman;A;nm0382269;Edward Heyman;A;nm0382269;Edward Heyman;A;nm0382269;Edward Heyman;A;nm0382269;Edward Heyman;A;nm0382269;Edward Heyman;A;nm0382269;Edward Heyman;A;;
EDWARD KOWALCZYK;TRUE;Waiter at Clifton's;Cast;Fight Club;;EDWARD KOWALCZYK;X;;EDWARD KOWALCZYK;X;;EDWARD KOWALCZYK;X;;EDWARD KOWALCZYK;X;;EDWARD KOWALCZYK;X;;EDWARD KOWALCZYK;X;;EDWARD KOWALCZYK;X;;
Edward Mansell;TRUE;Film Editor;Editors;Prime Suspect S01E01;nm0543743;Edward Mansell;A;nm0543743;Edward Mansell;A;nm0543743;Edward Mansell;A;nm0543743;Edward Mansell;A;nm0543743;Edward Mansell;A;nm0543743;Edward Mansell;A;nm0543743;Edward Mansell;A;;
EDWARD NORTON;TRUE;Narrator;Cast;Fight Club;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;
EDWARD NORTON;TRUE;;Cast;Fight Club;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;EDWARD NORTON;X;;
AURELIJUS SILKINIS;TRUE;Assistant Location Managers;Location Managers;Chernobyl S01E01;nm16359065;Aurelijus Silkinis;A;nm16359065;Aurelijus Silkinis;A;nm16359065;Aurelijus Silkinis;A;nm16359065;Aurelijus Silkinis;A;nm16359065;Aurelijus Silkinis;A;nm16359065;Aurelijus Silkinis;A;nm16359065;Aurelijus Silkinis;A;;
EGIDIJUS BRAZIUNAS;TRUE;Rigging Gaffer;Camera and Electrical Department;Chernobyl S01E01;nm2027054;Egidijus Braziunas;A;nm2027054;Egidijus Braziunas;A;nm2027054;Egidijus Braziunas;A;nm2027054;Egidijus Braziunas;A;nm2027054;Egidijus Braziunas;A;nm2027054;Egidijus Braziunas;A;nm2027054;Egidijus Braziunas;A;;
EGIDIJUS VAITKEVICIUS;TRUE;Standby Props;Property Department;Chernobyl S01E01;nm1442990;Egidijus Vaitkevicius;A;nm1442990;Egidijus Vaitkevicius;A;nm1442990;Egidijus Vaitkevicius;A;nm1442990;Egidijus Vaitkevicius;A;nm1442990;Egidijus Vaitkevicius;A;nm1442990;Egidijus Vaitkevicius;A;nm1442990;Egidijus Vaitkevicius;A;;
DARIUS BALTUSIS;TRUE;Assistant Location Managers;Location Managers;Chernobyl S01E01;;DARIUS BALTUSIS;X;;DARIUS BALTUSIS;X;;DARIUS BALTUSIS;X;;DARIUS BALTUSIS;X;;DARIUS BALTUSIS;X;;DARIUS BALTUSIS;X;;DARIUS BALTUSIS;X;;
EGOR POGREBNIAK;TRUE;2nd Unit Unit Manager;Production Managers;Chernobyl S01E01;nm6024927;Iegor Pogrebniak;M;nm6024927;Iegor Pogrebniak;M;nm6024927;Iegor Pogrebniak;M;nm6024927;Iegor Pogrebniak;M;nm6024927;Iegor Pogrebniak;M;;EGOR POGREBNIAK;X;;EGOR POGREBNIAK;X;;
GODA GAJAUSKAITE;TRUE;Assistant Location Managers;Location Managers;Chernobyl S01E01;nm8796651;Goda Gajauskaite;A;nm8796651;Goda Gajauskaite;A;nm8796651;Goda Gajauskaite;A;nm8796651;Goda Gajauskaite;A;nm8796651;Goda Gajauskaite;A;nm8796651;Goda Gajauskaite;A;nm8796651;Goda Gajauskaite;A;;
EILEEN MORAN;TRUE;Visual Effects Producer;Visual Effects;Fight Club;nm0995894;Eileen Moran;A;nm0995894;Eileen Moran;A;nm0995894;Eileen Moran;A;nm0995894;Eileen Moran;A;nm0995894;Eileen Moran;A;nm0995894;Eileen Moran;A;nm0995894;Eileen Moran;A;;
EION BAILEY;TRUE;Ricky;Cast;Fight Club;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;;
EION BAILEY;TRUE;;Cast;Fight Club;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;nm0047248;Eion Bailey;A;;
EKATERINA PISAREVA;TRUE;Production Coordinator;Production Department;Chernobyl S01E01;;EKATERINA PISAREVA;X;;EKATERINA PISAREVA;X;;EKATERINA PISAREVA;X;;EKATERINA PISAREVA;X;;EKATERINA PISAREVA;X;;EKATERINA PISAREVA;X;;EKATERINA PISAREVA;X;;
THE IFUGAO PEOPLE OF BANAUE;FALSE;Montagnard Tribesmen Portrayed by;Cast;Apocalypse Now;;;;;;;;;;;;;;;;;;;;;;;
El Gato DJ;TRUE;eseguita da;Music Department;La grande bellezza;;El Gato DJ;X;;El Gato DJ;X;;El Gato DJ;X;;El Gato DJ;X;;El Gato DJ;X;;El Gato DJ;X;;El Gato DJ;X;;
JULIUS KARVELIS;TRUE;Assistant Location Managers;Location Managers;Chernobyl S01E01;nm6486405;Julius Karvelis;A;nm6486405;Julius Karvelis;A;nm6486405;Julius Karvelis;A;nm6486405;Julius Karvelis;A;nm6486405;Julius Karvelis;A;nm6486405;Julius Karvelis;A;nm6486405;Julius Karvelis;A;;
ELAINE WAUGH;TRUE;Post Production Supervisor;Production Managers;Chernobyl S01E01;nm0915283;Elaine Waugh;A;nm0915283;Elaine Waugh;A;nm0915283;Elaine Waugh;A;nm0915283;Elaine Waugh;A;nm0915283;Elaine Waugh;A;nm0915283;Elaine Waugh;A;nm0915283;Elaine Waugh;A;;
ELEANOR COPPOLA;TRUE;Documentarian;Additional Crew;Apocalypse Now;;ELEANOR COPPOLA;X;;ELEANOR COPPOLA;X;;ELEANOR COPPOLA;X;;ELEANOR COPPOLA;X;;ELEANOR COPPOLA;X;;ELEANOR COPPOLA;X;;ELEANOR COPPOLA;X;;
ELEANOR ROGERS;TRUE;Compositors;Visual Effects;Chernobyl S01E01;nm5639352;Eleanor Rogers;A;nm5639352;Eleanor Rogers;A;nm5639352;Eleanor Rogers;A;nm5639352;Eleanor Rogers;A;nm5639352;Eleanor Rogers;A;nm5639352;Eleanor Rogers;A;nm5639352;Eleanor Rogers;A;;
ELENA ARACÓ;TRUE;Mastering;Editorial Department;El desorden que dejas S01E03;nm5486643;Elena Araco;A;nm5486643;Elena Araco;A;nm5486643;Elena Araco;A;nm5486643;Elena Araco;A;nm5486643;Elena Araco;A;nm5486643;Elena Araco;A;nm5486643;Elena Araco;A;;
LINAS ASTRAMSKAS;TRUE;Assistant Location Managers;Location Managers;Chernobyl S01E01;nm10781712;Linas Astramskas;A;nm10781712;Linas Astramskas;A;nm10781712;Linas Astramskas;A;nm10781712;Linas Astramskas;A;nm10781712;Linas Astramskas;A;nm10781712;Linas Astramskas;A;nm10781712;Linas Astramskas;A;;
ELENA EVDOKIMOVA;TRUE;Make-Up Artists;Makeup Department;Chernobyl S01E01;;ELENA EVDOKIMOVA;X;;ELENA EVDOKIMOVA;X;;ELENA EVDOKIMOVA;X;;ELENA EVDOKIMOVA;X;;ELENA EVDOKIMOVA;X;;ELENA EVDOKIMOVA;X;;ELENA EVDOKIMOVA;X;;
ELENA GOSCH;TRUE;DAILY SET DEC BUYERS;Art Department;Dark S01E09;;ELENA GOSCH;X;;ELENA GOSCH;X;;ELENA GOSCH;X;;ELENA GOSCH;X;;ELENA GOSCH;X;;ELENA GOSCH;X;;ELENA GOSCH;X;;
ELENA KOVAL;TRUE;Make-Up Artists;Makeup Department;Chernobyl S01E01;nm3332912;Elena Koval;A;nm3332912;Elena Koval;A;nm3332912;Elena Koval;A;nm3332912;Elena Koval;A;nm3332912;Elena Koval;A;nm3332912;Elena Koval;A;nm3332912;Elena Koval;A;;
MICHAELA HAUPT;TRUE;ASSISTANT LOCATION MANAGERS;Location Managers;Dark S01E09;nm9888907;Michaela Haupt;A;nm9888907;Michaela Haupt;A;nm9888907;Michaela Haupt;A;nm9888907;Michaela Haupt;A;nm9888907;Michaela Haupt;A;nm9888907;Michaela Haupt;A;nm9888907;Michaela Haupt;A;;
ELENA PIGANOVA;TRUE;Costume;Costume and Wardrobe Department;Chernobyl S01E01;nm16686655;Elena Piganova;A;nm16686655;Elena Piganova;A;nm16686655;Elena Piganova;A;nm16686655;Elena Piganova;A;nm16686655;Elena Piganova;A;nm16686655;Elena Piganova;A;nm16686655;Elena Piganova;A;;
ELENA TOPOUZOGLOU;TRUE;Compositors;Visual Effects;Chernobyl S01E01;nm2719759;Elena Topouzoglou;A;nm2719759;Elena Topouzoglou;A;nm2719759;Elena Topouzoglou;A;nm2719759;Elena Topouzoglou;A;nm2719759;Elena Topouzoglou;A;nm2719759;Elena Topouzoglou;A;nm2719759;Elena Topouzoglou;A;;
Elena Tramontano;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;;
Elena Zingali;TRUE;Music Licensing a cura di;Legal Department;La grande bellezza;nm5833044;Elena Zingali;A;nm5833044;Elena Zingali;A;nm5833044;Elena Zingali;A;nm5833044;Elena Zingali;A;nm5833044;Elena Zingali;A;nm5833044;Elena Zingali;A;nm5833044;Elena Zingali;A;;
ELENI GROSZER;TRUE;DAILY COSTUMERS;Costume and Wardrobe Department;Dark S01E09;nm3074497;Eleni Groszer;A;nm3074497;Eleni Groszer;A;nm3074497;Eleni Groszer;A;nm3074497;Eleni Groszer;A;nm3074497;Eleni Groszer;A;nm3074497;Eleni Groszer;A;nm3074497;Eleni Groszer;A;;
Eleonora Bordonaro;TRUE;Eseguite da;Music Department;Romanzo criminale S01E01;nm8544664;Eleonora Bordonaro;A;nm8544664;Eleonora Bordonaro;A;nm8544664;Eleonora Bordonaro;A;nm8544664;Eleonora Bordonaro;A;nm8544664;Eleonora Bordonaro;A;nm8544664;Eleonora Bordonaro;A;nm8544664;Eleonora Bordonaro;A;;
Eleonora Medolla;TRUE;Aiuto costumista;Costume and Wardrobe Department;La grande bellezza;nm5521788;Eleonora Medolla;A;nm5521788;Eleonora Medolla;A;nm5521788;Eleonora Medolla;A;nm5521788;Eleonora Medolla;A;nm5521788;Eleonora Medolla;A;nm5521788;Eleonora Medolla;A;nm5521788;Eleonora Medolla;A;;
Eleonora Piemontese;TRUE;Post Produzione;Editorial Department;Romanzo criminale S01E01;nm2451190;Eleonora Piemontese;A;nm2451190;Eleonora Piemontese;A;nm2451190;Eleonora Piemontese;A;nm2451190;Eleonora Piemontese;A;nm2451190;Eleonora Piemontese;A;nm2451190;Eleonora Piemontese;A;nm2451190;Eleonora Piemontese;A;;
Eleonora Prado;TRUE;Hannah;Voice Actors - Dubbing;Dark S01E09;;Eleonora Prado;X;;Eleonora Prado;X;;Eleonora Prado;X;;Eleonora Prado;X;;Eleonora Prado;X;;Eleonora Prado;X;;Eleonora Prado;X;;
Café Bar Bohemia;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
CAIXABANK;FALSE;Servicios Financieros;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
ELI JIMINEZ;TRUE;Labor Hod;Art Department;Se7en;nm0422823;Eli Jiminez;A;nm0422823;Eli Jiminez;A;nm0422823;Eli Jiminez;A;nm0422823;Eli Jiminez;A;nm0422823;Eli Jiminez;A;nm0422823;Eli Jiminez;A;nm0422823;Eli Jiminez;A;;
Eliane COUPRIE;TRUE;Administration;Additional Crew;Maigret S03E01;nm0183651;Éliane Couprie;A;nm0183651;Éliane Couprie;A;nm0183651;Éliane Couprie;A;nm0183651;Éliane Couprie;A;nm0183651;Éliane Couprie;A;nm0183651;Éliane Couprie;A;nm0183651;Éliane Couprie;A;;
Eliane GUIGNET;TRUE;Montage;Editors;Maigret S03E01;nm0346830;Eliane Guignet;A;nm0346830;Eliane Guignet;A;nm0346830;Eliane Guignet;A;nm0346830;Eliane Guignet;A;nm0346830;Eliane Guignet;A;nm0346830;Eliane Guignet;A;nm0346830;Eliane Guignet;A;;
ELIAS HEIDUK;TRUE;2ND UNIT GRIP;Camera and Electrical Department;Dark S01E09;nm3131271;Elias Heiduk;A;nm3131271;Elias Heiduk;A;nm3131271;Elias Heiduk;A;nm3131271;Elias Heiduk;A;nm3131271;Elias Heiduk;A;nm3131271;Elias Heiduk;A;nm3131271;Elias Heiduk;A;;
ELÍAS RODRÍGUEZ POMBAR;TRUE;ProducciÃ³n;Production Department;El desorden que dejas S01E03;;ELÍAS RODRÍGUEZ POMBAR;X;;ELÍAS RODRÍGUEZ POMBAR;X;;ELÍAS RODRÍGUEZ POMBAR;X;;ELÍAS RODRÍGUEZ POMBAR;X;;ELÍAS RODRÍGUEZ POMBAR;X;;ELÍAS RODRÍGUEZ POMBAR;X;;ELÍAS RODRÍGUEZ POMBAR;X;;
Elif Acehan;TRUE;Viruca;Voice Actors - Dubbing;El desorden que dejas S01E03;;Elif Acehan;X;;Elif Acehan;X;;Elif Acehan;X;;Elif Acehan;X;;Elif Acehan;X;;Elif Acehan;X;;Elif Acehan;X;;
Elif Erdal;TRUE;;Voice Actors - Dubbing;El desorden que dejas S01E03;;Elif Erdal;X;;Elif Erdal;X;;Elif Erdal;X;;Elif Erdal;X;;Elif Erdal;X;;Elif Erdal;X;;Elif Erdal;X;;
ELIJAH WOOD;TRUE;patrick;Cast;Eternal Sunshine of the Spotless Mind;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;
ELIJAH WOOD;TRUE;;Cast;Eternal Sunshine of the Spotless Mind;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;ELIJAH WOOD;X;;
VOLKER ZOBELT;TRUE;ASSISTANT LOCATION MANAGERS;Location Managers;Dark S01E09;nm2689682;Volker Zobelt;A;nm2689682;Volker Zobelt;A;nm2689682;Volker Zobelt;A;nm2689682;Volker Zobelt;A;nm2689682;Volker Zobelt;A;nm2689682;Volker Zobelt;A;nm2689682;Volker Zobelt;A;;
ELINOR BARDACH;TRUE;Costume Supervisor;Costume and Wardrobe Department;Fight Club;nm0054173;Elinor Bardach;A;nm0054173;Elinor Bardach;A;nm0054173;Elinor Bardach;A;nm0054173;Elinor Bardach;A;nm0054173;Elinor Bardach;A;nm0054173;Elinor Bardach;A;nm0054173;Elinor Bardach;A;;
ELINOR C. BARDACH;TRUE;Costume Supervisor;Costume and Wardrobe Department;Se7en;nm0054173;Elinor Bardach;M;nm0054173;Elinor Bardach;M;nm0054173;Elinor Bardach;M;;ELINOR C. BARDACH;X;;ELINOR C. BARDACH;X;;ELINOR C. BARDACH;X;;ELINOR C. BARDACH;X;;
ELIOT SPEED;TRUE;Animators;Visual Effects;Chernobyl S01E01;nm4974757;Eliot Speed;A;nm4974757;Eliot Speed;A;nm4974757;Eliot Speed;A;nm4974757;Eliot Speed;A;nm4974757;Eliot Speed;A;nm4974757;Eliot Speed;A;nm4974757;Eliot Speed;A;;
Elisa Boltri;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;;
Elisa Della Valentina;TRUE;Attricetta;Cast;Romanzo criminale S01E01;nm7624537;Elisa Della Valentina;A;nm7624537;Elisa Della Valentina;A;nm7624537;Elisa Della Valentina;A;nm7624537;Elisa Della Valentina;A;nm7624537;Elisa Della Valentina;A;nm7624537;Elisa Della Valentina;A;nm7624537;Elisa Della Valentina;A;;
ELISABETH SCHMIDT;TRUE;DAILY 2ND UNIT COSTUMERS;Costume and Wardrobe Department;Dark S01E09;nm7977054;Elisabeth Schmidt;A;nm7977054;Elisabeth Schmidt;A;nm7977054;Elisabeth Schmidt;A;nm7977054;Elisabeth Schmidt;A;nm7977054;Elisabeth Schmidt;A;nm7977054;Elisabeth Schmidt;A;nm7977054;Elisabeth Schmidt;A;;
Elisabetta Buccianelli;TRUE;Direzione del Doppiaggio;Dubbing;Romanzo criminale S01E01;nm3054908;Elisabetta Bucciarelli;M;nm3054908;Elisabetta Bucciarelli;M;nm3054908;Elisabetta Bucciarelli;M;nm3054908;Elisabetta Bucciarelli;M;;Elisabetta Buccianelli;X;;Elisabetta Buccianelli;X;;Elisabetta Buccianelli;X;Assente;
ELISABETTA CATALANO;TRUE;;Cast;8 1-2;nm0145815;Elisabetta Catalano;A;nm0145815;Elisabetta Catalano;A;nm0145815;Elisabetta Catalano;A;nm0145815;Elisabetta Catalano;A;nm0145815;Elisabetta Catalano;A;nm0145815;Elisabetta Catalano;A;nm0145815;Elisabetta Catalano;A;;
ALEXIS SEYMOUR;TRUE;Assistant Music Editor;Music Department;Twin Peaks S01E03;nm0786796;Alexis Seymour;A;nm0786796;Alexis Seymour;A;nm0786796;Alexis Seymour;A;nm0786796;Alexis Seymour;A;nm0786796;Alexis Seymour;A;nm0786796;Alexis Seymour;A;nm0786796;Alexis Seymour;A;;
Elisabetta Ventura;TRUE;Ballerina ventilatore;Cast;La grande bellezza;nm6040572;Elisabetta Ventura;A;nm6040572;Elisabetta Ventura;A;nm6040572;Elisabetta Ventura;A;nm6040572;Elisabetta Ventura;A;nm6040572;Elisabetta Ventura;A;nm6040572;Elisabetta Ventura;A;nm6040572;Elisabetta Ventura;A;;
ELISENDA FAUSTINO;TRUE;3D Artists;Visual Effects;Chernobyl S01E01;nm15758508;Elisenda Faustino Deu;M;;ELISENDA FAUSTINO;X;;ELISENDA FAUSTINO;X;;ELISENDA FAUSTINO;X;;ELISENDA FAUSTINO;X;;ELISENDA FAUSTINO;X;;ELISENDA FAUSTINO;X;;
ELIZABETH BONAVENTURA;TRUE;scenics;Art Department;Eternal Sunshine of the Spotless Mind;;ELIZABETH BONAVENTURA;X;;ELIZABETH BONAVENTURA;X;;ELIZABETH BONAVENTURA;X;;ELIZABETH BONAVENTURA;X;;ELIZABETH BONAVENTURA;X;;ELIZABETH BONAVENTURA;X;;ELIZABETH BONAVENTURA;X;;
CAR RENT MILLADOIRO;FALSE;Alquiler VehÃ­culos;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
CARAGER;FALSE;Grupo ElectrÃ³geno;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
ELIZABETH LAPP;TRUE;Set Designers;Art Department;Se7en;nm0487757;Elizabeth Lapp;A;nm0487757;Elizabeth Lapp;A;nm0487757;Elizabeth Lapp;A;nm0487757;Elizabeth Lapp;A;nm0487757;Elizabeth Lapp;A;nm0487757;Elizabeth Lapp;A;nm0487757;Elizabeth Lapp;A;;
ELIZABETH RAGAGLI;TRUE;Set Decorating Buyer;Art Department;Se7en;;ELIZABETH RAGAGLI;X;;ELIZABETH RAGAGLI;X;;ELIZABETH RAGAGLI;X;;ELIZABETH RAGAGLI;X;;ELIZABETH RAGAGLI;X;;ELIZABETH RAGAGLI;X;;ELIZABETH RAGAGLI;X;;
ELLA LEE;TRUE;HANNAH KAHNWALD 1986;Cast;Dark S01E09;;ELLA LEE;X;;ELLA LEE;X;;ELLA LEE;X;;ELLA LEE;X;;ELLA LEE;X;;ELLA LEE;X;;ELLA LEE;X;;
